BAP Number,Organization,2016Shipped,2017Shipped,2017Projected,2018Projected,TotalProduction
P10605,PT Bumi Pangan Utama,0,,,49,666.4
P10163,Sagar Grandhi Exports (P) Ltd.,320,0.92,820.99,12.25,3739
P10209,"Tongwei Hainan Aquatic Products Co., Ltd.",0,3.63,48.86,4.08,4017.32
P10366,Sagar Grandhi Exports Pvt. Ltd. Unit II,1474.38,,1256.83,14.52,4269
P10128,"Zhanjiang Longwei Aquatic Products Industry Co., Ltd.",1335.01,443.84,1374.93,1147,9779.06
P10248,PT. First Marine Seafoods,227.5,,311.97,76.23,9628
P10123,Okeanos Food Company Ltd.,313.54,7.67,265.43,7.67,12134
P10451,Minh Phu Hau Giang Seafood Corporation,0,4.17,103.73,4.22,20380
P10368,Vinh Hoan Corporation,0,2.95,,2.95,40000
P10016,PT. Bumi Menara Internusa-Dampit Plant,16.84,,63.3,,828.65
P10025,Apex Foods Limited,28.12,,,,1391.86
P10028,"Asian Seafoods Coldstorage Public Co., Ltd.",393.71,,2599.62,,16879.92
P10043,"Zhanjiang Guolian Aquatic Products Co., Ltd.",393.71,,2599.62,,16879.92
P10059,Kitchens Of The Ocean (Thailand) Ltd.,18.51,,21.72,,1000
P10060,"Vietnam Fish One Co., Ltd",534.43,,690.97,,2215
P10061,SAOTA Foods Joint Stock Company(FIMEX VN),66.64,,,,10828
P10066,PT. Bumi Menara Internusa - Surabaya,221.59,,277.52,,2131.37
P10071,PT. Mega Marine Pride,156.98,,1846.09,,1609.34
P10085,Minh Phu Seafood Corp.,1464.24,,1177.26,,29647
P10086,"Xian-Ning Seafood Co., Ltd.",652.11,,875.85,,2707
P10089,Apex Frozen Foods Pvt. Ltd.,146.56,4.05,42.47,,13739
P10091,"May Ao Food Co., Ltd.",0.61,,0.61,,4669.48
P10102,Nhatrang Seaproducts Company F - 17 - (Nhantrang Seafoods),220.52,,2600.73,,2115
P10203,PT. Bahari Makmur Sejati - Serang,822.21,,632.8,,16671
P10212,M/s. Devi Fisheries Ltd.,252.01,,2221.08,,1750
P10232,"Quoc Viet Seaproducts Processing Trading and Export Co., Ltd.",48.4,,109.95,,14365
P10260,PT. Bumi Menara Internusa - Lampung,34.01,,63.3,,1968.72
P10328,Empresas AquaChile S.A  (AKA Cardonal),68.71,,30.92,,21032
P10434,M/s. Suryamitra Exim (P) Ltd. - Unit II,368.31,,47.64,,1413
P10516,Thong Thuan - Nui Tao Industry Shrimp Farm,393.79,,137.63,,1184
P10517,PT. Bahari Makmur Sejati - Medan,89.55,,220.47,,4265.79
P10523,M/S Suryamitra Exim Limited Unit 1,46.41,,46.41,,1253.56